airfoil,re,alpha_deg,cl,cd,cm,confidence
ag35,100000.0,9.75,1.2423093127772484,0.053528181158840164,-0.013061553007108857,0.946318283790572
ag35,100000.0,10.0,1.235996960476431,0.057492826489242296,-0.010599740790972352,0.9335628059668298
ag35,100000.0,10.25,1.2234000469828559,0.06191998202159346,-0.008105658886098214,0.916092537661493
ag35,100000.0,10.5,1.204340971149068,0.06688214843617282,-0.006029098116276766,0.890733263770023
ag35,100000.0,10.75,1.178758930482604,0.07250061578524204,-0.005176963495151672,0.8519295004395336
ag35,100000.0,11.0,1.1458023992188195,0.07915920569535162,-0.006781543611454795,0.7916426563907377
ag35,100000.0,11.25,1.1005765265516874,0.08824633095324153,-0.012224703663732833,0.7026020571547271
ag35,100000.0,11.5,1.0347436652187472,0.10283715380511196,-0.022072892469159486,0.588111693753665
ag35,100000.0,11.75,0.9554595360320555,0.12426812532903637,-0.0346877004334069,0.4711862801734399
ag35,100000.0,12.0,0.8926274063913753,0.1462255868990369,-0.04671081466646733,0.3789777148892272
ag35,100000.0,12.25,0.861965896634623,0.161097327497338,-0.055973043641483956,0.31732228155130465
ag35,100000.0,12.5,0.8536790840128958,0.16886947108187317,-0.062435576681107385,0.27718585566450865
ag35,100000.0,12.75,0.8546226548547591,0.17317536339112774,-0.06695774468168081,0.24994814581438005
ag35,100000.0,13.0,0.8581907750955673,0.17651210809718237,-0.07038292432328996,0.23075582187548901
ag35,100000.0,13.25,0.8622957277652104,0.17982553447076974,-0.0732887580788538,0.21716284408440276
ag35,100000.0,13.5,0.8665083199027976,0.18331283853203248,-0.0760146764003887,0.20791111039194035
ag35,100000.0,13.75,0.8707781886451103,0.18694342497290636,-0.07874735155122614,0.20225832439176164
ag35,100000.0,14.0,0.8750731193249672,0.190658723280993,-0.08158948528842443,0.19964122997370937
ag35,100000.0,14.25,0.8793308591791458,0.19442426850733255,-0.08460103433600462,0.1995429580604747
ag35,100000.0,14.5,0.8834778725474646,0.19823300961213086,-0.08782059233484846,0.20146960827449167
ag35,100000.0,14.75,0.8874461953336584,0.20209752796912545,-0.09127561052595584,0.20496855065625147
ag35,100000.0,15.0,0.8911787058873721,0.20604243626008456,-0.09498707394079067,0.20965100566047556
ag35,100000.0,15.25,0.894627448042672,0.21009927009743384,-0.09897150212083715,0.2152038724054766
ag35,100000.0,15.5,0.8977501805784315,0.2143036239000129,-0.10324151438178505,0.2213885523806725
ag35,100000.0,15.75,0.9005079592160061,0.21869373656250835,-0.10780547306606773,0.2280302711392232
ag35,100000.0,16.0,0.9028646039141869,0.22330977609362118,-0.11266648893934852,0.23500278988297754
ag35,150000.0,-6.0,-0.32563019804519544,0.023332691564861233,-0.035756778768416916,0.8211625271678021
ag35,150000.0,-5.75,-0.30250547490433644,0.021481436447206573,-0.03440238477747592,0.9088835791049573
ag35,150000.0,-5.5,-0.2789014598577266,0.020047902456251078,-0.03316172771874151,0.9445187578712596
ag35,150000.0,-5.25,-0.25520793123573593,0.01882936046259856,-0.03227583900837036,0.957129777575965
ag35,150000.0,-5.0,-0.2313505310309865,0.017748169732365968,-0.03181445485815779,0.9590905241440502
ag35,150000.0,-4.75,-0.20656285408136557,0.01681205693927995,-0.03179799167958673,0.9549276616950279
ag35,150000.0,-4.5,-0.17985109944910235,0.015996921951120468,-0.03234156551459846,0.9465114330102357
ag35,150000.0,-4.25,-0.1504777471611845,0.015189497169139256,-0.03363760983564365,0.9357910738271696
ag35,150000.0,-4.0,-0.1180614410767393,0.014214005432434014,-0.03581099392967957,0.9290245835332485
ag35,150000.0,-3.75,-0.08167888344925724,0.012880863290712283,-0.03814034190086685,0.9316154666130451
ag35,150000.0,-3.5,-0.04539626903265524,0.011314382883548812,-0.039028493625832,0.9298399105438402
ag35,150000.0,-3.25,0.0021136369526394225,0.01044381022894868,-0.04155512536309515,0.9302405870348941
ag35,150000.0,-3.0,0.06939070007609997,0.010216933121467278,-0.04909811464088075,0.9355247925748867
ag35,150000.0,-2.75,0.1192050150690473,0.010148913488504118,-0.05354665584349736,0.9423843611978038
ag35,150000.0,-2.5,0.1590421369720941,0.010060465016799419,-0.055980137712542136,0.9481069048804799
ag35,150000.0,-2.25,0.19569577432521115,0.00995747467005248,-0.057583289170711864,0.9527960247505767
ag35,150000.0,-2.0,0.22974365008923428,0.009870593024696544,-0.05848617940573126,0.9567577573905748
ag35,150000.0,-1.75,0.26061093976873184,0.009818312216458507,-0.05861627912214701,0.9602970652563508
ag35,150000.0,-1.5,0.2881493921638365,0.00980508893471727,-0.057973016199628476,0.9636731761621921
ag35,150000.0,-1.25,0.31319669073664974,0.009826580737256832,-0.05675878510790775,0.9670082876542717
ag35,150000.0,-1.0,0.3371723435420682,0.00987712996646302,-0.05530276380353422,0.9702650109601364
ag35,150000.0,-0.75,0.36130113271803543,0.00995392247482679,-0.053893877926458625,0.9733000995006345
ag35,150000.0,-0.5,0.3861674577071761,0.010055923284464606,-0.05267997405908813,0.975952188170846
ag35,150000.0,-0.25,0.41176307333131873,0.010180889601960836,-0.051675063661900264,0.9781120823509465
ag35,150000.0,0.0,0.43778984012439676,0.01032384375872897,-0.050826304797503295,0.9797496720985593
ag35,150000.0,0.25,0.4639478508713928,0.010478135207343581,-0.05007841934988007,0.9809037098214223
ag35,150000.0,0.5,0.49007308577423286,0.010638362117277707,-0.04940148518442435,0.9816560326452842
ag35,150000.0,0.75,0.5161268118097394,0.01080312075812568,-0.04878512481743555,0.9821069982088247
ag35,150000.0,1.0,0.5421193054777101,0.010975541346638928,-0.04822246556416474,0.9823572173325238
ag35,150000.0,1.25,0.5680462658969492,0.011161332367037315,-0.04770247674122454,0.9824950945735508
ag35,150000.0,1.5,0.5938685734049217,0.011365687418473096,-0.047213201764890314,0.9825898082089288
ag35,150000.0,1.75,0.6195401216279676,0.011590494505845423,-0.04674695361647268,0.9826867210847465
ag35,150000.0,2.0,0.6450698541205516,0.011832817742525611,-0.046298913809159514,0.9828012292688326
ag35,150000.0,2.25,0.6705544146021029,0.012085272037482109,-0.045862064903283095,0.9829189179100808
ag35,150000.0,2.5,0.6961253598045882,0.012338593526430774,-0.04542684377447035,0.9830114480444437
ag35,150000.0,2.75,0.7218585659081219,0.012586089599223266,-0.04498415391894675,0.9830548287303328
ag35,150000.0,3.0,0.7477289872571469,0.012828009978623985,-0.044525902609823996,0.9830315360953408
ag35,150000.0,3.25,0.773625932627433,0.013072652834463669,-0.044043441941234884,0.982919268510274
ag35,150000.0,3.5,0.799392346297395,0.013332858956251104,-0.043526878749086534,0.9826832903574508
ag35,150000.0,3.75,0.8248600309487265,0.013620801939913215,-0.04296507071540033,0.982285848002062
ag35,150000.0,4.0,0.8498902412654515,0.013946893133671513,-0.042344407634433895,0.9817133472928612
