span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,tail_volume_h,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason
5.5,0.4,1.3,0.34,0.6,0.0,0.24,0.5233448015239407,1.0466896030478814,0.0,0.23259768953243612,0.5,5.313175629646228,-0.10039265862416569,2,mixed,False,26+26+24+8+6,5,90,24,32,8,19x10E,11.196994345824772,1.8437351682438305,16.406911643830778,0.30395774568631584,9.335764951803432,11.202917942164119,11.388624575903602,97.12522799809007,100.05177671974413,2.7823321238302037,0.0056810038248710105,0.8713065418842456,-262.32337583644266,262.32337583644266,0.16250460451175877,1980.9659411086798,2239.29544293016,14.333333333333332,False,"SOC floor violated (min 0.006, unmet 262 Wh); did not refill (end SOC 0.871)"
6.0,0.4,1.6,0.34,0.4,0.0,0.16000000000000003,0.4467963792362206,0.8935927584724412,0.0,0.19857616852969506,0.5,5.121062335585169,-0.47533425137480645,2,mixed,False,26+26+18+4+4,5,78,18,30,0,19x10E,11.15139689462527,1.787231131016693,20.14288995711532,0.31178401672075223,9.462866769725155,11.355440123670185,11.543675061289456,89.40835843833386,92.1900980899633,2.8335660623389103,0.0023190509640964438,0.6998152746286835,-270.65844470869166,171.84869723572388,0.3112660363669839,1716.8371489608571,2051.7635059352283,14.666666666666668,False,"SOC floor violated (min 0.002, unmet 172 Wh); did not refill (end SOC 0.700)"
5.5,0.45,1.3,0.34,0.4,0.0,0.18000000000000002,0.5444147363222125,1.088829472644425,0.0,0.24196210487799785,0.5,5.336257273766884,-0.058595225007738616,2,mixed,False,26+26+24+8+4,5,88,24,30,8,19x10E,11.279070946605259,1.8794919788069973,16.094774726945687,0.30313940804601924,9.280361103807804,11.136433324569365,11.321037867354267,97.33640940281408,100.24557795155154,2.7580965029842086,0.009728637580641743,0.8324817031623222,-273.05511469312074,273.05511469312074,0.31327636544296544,1936.9444757507106,2243.710926880547,14.5,False,"SOC floor violated (min 0.010, unmet 273 Wh); did not refill (end SOC 0.832)"
5.5,0.4,1.6,0.34,0.6,0.0,0.24,0.4695058333139368,0.9390116666278736,0.0,0.20866925923495241,0.5,5.308617144656504,-0.10957756854203726,2,mixed,False,26+26+21+7+7,5,87,21,33,0,19x10E,11.322359182473049,1.8351209333302299,16.48392727181458,0.3041548928233807,9.409890476853226,11.291868572223871,11.479049707710372,97.82444241981896,100.84187338656561,2.7523414368056187,0.002981457999499065,0.7998880949559088,-276.05881141782675,276.05881141782675,0.16509559591824421,1914.933743071725,2256.452212259748,14.5,False,"SOC floor violated (min 0.003, unmet 276 Wh); did not refill (end SOC 0.800)"
5.5,0.45,1.6,0.34,0.4,0.0,0.18000000000000002,0.48669274633032533,0.9733854926606507,0.0,0.216307887190765,0.5,5.326289131384841,-0.07548534443849908,2,mixed,False,26+26+21+6+6,5,85,21,32,0,19x10E,11.38565970321726,1.8639070415091878,16.22935013728306,0.3034960880809123,9.363008646554182,11.235610375865017,11.421858940005377,97.7602009086168,100.72749194832946,2.734978586737512,0.0015298412273689437,0.7588944216829158,-277.84124539157295,277.84124539157295,0.31720654142255,1870.9122777137545,2253.9395381774584,14.666666666666668,False,"SOC floor violated (min 0.002, unmet 278 Wh); did not refill (end SOC 0.759)"
5.5,0.36,1.3,0.34,0.6,0.5,0.216,1.632376116030971,1.0295044641238844,0.0,0.22877876972035582,0.5,5.298407646861946,-0.1279253593822962,2,mixed,False,26+26+14+7+5+5,6,83,14,31,7,19x10E,11.187112188917972,1.8190621607084598,16.629448214248328,0.30452241720866174,9.394716431724676,11.273659718069611,11.460539012104919,97.47033929039425,100.4647493135668,2.786354593478688,0.0022148213313147834,0.7220941340271718,-279.13926762757967,279.13926762757967,0.1341331914853197,1826.8908123557821,2247.235969852409,14.666666666666668,False,"SOC floor violated (min 0.002, unmet 279 Wh); did not refill (end SOC 0.722)"
5.5,0.4,1.3,0.34,0.6,0.0,0.24,0.5233448015239407,1.0466896030478814,0.0,0.23259768953243612,0.5,5.313383040591236,-0.10001180286974787,2,mixed,False,26+26+24+8+6+6,6,96,24,32,8,19x10E,11.35299434582477,1.8437351682438305,16.406911643830778,0.30395774568631584,9.400574383594126,11.28068926031295,11.467685080474176,99.41131720815473,102.49342326691746,2.7377051648590434,0.003553508102732982,0.968274581499766,-281.4563868344429,281.4563868344429,0.13326352520787782,2113.0303371825926,2295.9221470686452,14.25,False,"SOC floor violated (min 0.004, unmet 281 Wh)"
6.0,0.3,1.3,0.34,1.0,1.0,0.3,3.0,0.9667550799532344,0.0,0.21483446221182986,0.5,5.201672565167531,-0.4682332803596856,2,mixed,False,26+26+14+12,4,78,14,38,0,19x10E,10.862233828027827,1.7999999999999998,20.000000000000004,0.3115384615384616,9.306186901122336,11.167424281346802,11.352542549777937,90.69343198485947,93.48399609017572,2.894782719207427,0.0021699238494684494,0.6875104579961056,-282.54489757576204,190.75625299197773,0.2034412030159487,1716.8371489608571,2082.687632619571,14.666666666666668,False,"SOC floor violated (min 0.002, unmet 191 Wh); did not refill (end SOC 0.688)"
5.5,0.4,1.6,0.34,0.6,0.0,0.24,0.4695058333139368,0.9390116666278736,0.0,0.20866925923495241,0.5,5.308398424987713,-0.10997918979911825,2,mixed,False,26+26+21+7,4,80,21,33,0,19x10E,11.158359182473049,1.8351209333302299,16.48392727181458,0.3041548928233807,9.341492579428907,11.209791095314689,11.395611662775849,95.45399534836442,98.31389684371071,2.7995541659012018,0.004983116058071776,0.6847751768158564,-285.18717919588266,258.8015472036962,0.32726265200150567,1760.858614318828,2197.1116520680926,14.833333333333334,False,"SOC floor violated (min 0.005, unmet 259 Wh); did not refill (end SOC 0.685)"
5.5,0.4,1.3,0.34,0.4,0.5,0.16000000000000003,1.652408364194063,1.1096334567762525,0.0,0.24658521257829177,0.5,5.38613577943738,0.0034662368217621697,2,mixed,False,26+26+24+11+11,5,98,24,37,8,19x10E,11.463055267459806,1.9365780074065753,15.62033643070757,0.30183292546488427,9.216820820096133,11.06018498411536,11.243525586317366,100.14994692857437,103.12465076713531,2.6983259380036078,0.005849214109788612,0.999994565603646,-290.65494170197053,290.65494170197053,5.4825140414754046,2157.051802540563,2312.8499806982986,14.166666666666668,False,"SOC floor violated (min 0.006, unmet 291 Wh)"
