span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,tip_chord_m,y_taper_m,n_packs,cells_per_string,string_plan,n_strings,n_cells,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason
6.0,0.45,1.6,0.34,0.4,0.0,0.18000000000000002,0.5067021963549303,2,mixed,29+29+21+7+7+7,6,100,19x10E,11.9349596333733,2.026809593015831,17.76190527420639,0.30717673859584943,9.192898200955407,11.031477841146488,11.214342575640408,95.23346788648183,98.03679457670096,2.6101303304625527,0.003253784712481802,0.9999999999999376,-215.1105816728828,215.1105816728828,92.8076336452286,2201.0732678985332,2193.636496177757,14.0,False,"SOC floor violated (min 0.003, unmet 215 Wh)"
6.0,0.3,1.3,0.34,1.0,1.0,0.3,3.0,2,mixed,29+29+14+9,4,81,19x10E,10.886233828027828,1.7999999999999998,20.000000000000004,0.3115384615384616,9.316462193188894,11.179754631826672,11.365077295924387,91.20745486501097,94.03373813693949,2.8866002728969646,0.0073559726243795,0.7481180245703114,-223.99798826507916,196.71323061490395,0.14150330041246306,1782.8693469978134,2095.828607843579,14.5,False,"SOC floor violated (min 0.007, unmet 197 Wh); did not refill (end SOC 0.748)"
6.0,0.3,1.6,0.34,1.0,1.0,0.3,3.0,2,mixed,29+29+12+9+9,5,88,19x10E,11.222788217817277,1.7999999999999998,20.000000000000004,0.3115384615384616,9.459378002417978,11.351253602901574,11.539419142112052,95.0444736922887,98.15159967167405,2.7904614697737897,0.002260662443652358,0.8455891176387662,-233.03779171283634,233.03779171283634,0.13196041041780995,1936.9444757507108,2191.1029197490025,14.333333333333332,False,"SOC floor violated (min 0.002, unmet 233 Wh); did not refill (end SOC 0.846)"
6.0,0.36,1.6,0.34,0.4,0.5,0.144,1.733439304305606,2,mixed,29+29+14+4+4,5,80,19x10E,11.35624506040306,1.886422889730011,19.083737902031288,0.30987648288980746,9.29493374415756,11.153920492989073,11.338814914107246,90.81458545688265,93.50437688760898,2.768139300605566,0.003232007239277402,0.728865727171069,-242.5957075527473,189.02996055461549,0.08712725458312438,1760.8586143188277,2084.8789202711814,14.583333333333332,False,"SOC floor violated (min 0.003, unmet 189 Wh); did not refill (end SOC 0.729)"
5.5,0.4,1.6,0.34,0.6,0.0,0.24,0.4695058333139368,2,mixed,29+29+21+4,4,83,19x10E,11.182359182473048,1.8351209333302299,16.48392727181458,0.30415489281634567,9.351533276031399,11.221839931237678,11.407860227802567,96.03951364561536,98.93539438209693,2.7915133532423217,0.0018796010973654645,0.7360435802030868,-257.52040413736887,257.52040413736887,0.2615794357744754,1826.8908123557821,2211.9765477019264,14.666666666666668,False,"SOC floor violated (min 0.002, unmet 258 Wh); did not refill (end SOC 0.736)"
5.5,0.4,1.3,0.34,0.6,0.0,0.24,0.5233448015239407,2,mixed,29+29+24+8+3,5,93,19x10E,11.22099434582477,1.8437351682438305,16.406911643830778,0.30395774567274125,9.34576488647092,11.214917863765104,11.400823415773663,97.20886636291245,100.1617310099961,2.776489901043836,0.008003089271622372,0.9336810751119861,-259.6011542306844,259.6011542306844,0.49317694083809016,2046.9981391456367,2241.5571509650567,14.333333333333332,False,"SOC floor violated (min 0.008, unmet 260 Wh); did not refill (end SOC 0.934)"
5.5,0.45,1.3,0.34,0.4,0.0,0.18000000000000002,0.5444147363222125,2,mixed,29+29+24+8+1,5,91,19x10E,11.30307094660526,1.8794919788069973,16.094774726945687,0.3031394079866167,9.290229394865634,11.14827527383876,11.333076116243735,97.20196257416387,100.12644832171897,2.7533079254574844,0.005922069624592236,0.8911623483236871,-261.5596047095751,261.5596047095751,0.25072811173041387,2002.976673787667,2241.117130672964,14.333333333333332,False,"SOC floor violated (min 0.006, unmet 262 Wh); did not refill (end SOC 0.891)"
6.0,0.36,1.3,0.34,0.6,0.0,0.216,0.48869414444094267,2,mixed,29+29+14+3+3,5,78,19x10E,10.985205229090756,1.7983719567994956,20.018105744969485,0.3115697700615481,9.362951546189478,11.235541855427373,11.42178928372974,88.71959773487855,91.4814879463735,2.874248060380101,0.0030769139941848054,0.7072559724588369,-263.47073060476356,162.67666955703058,0.4290392481384503,1716.8371489608571,2035.2781451286633,14.583333333333332,False,"SOC floor violated (min 0.003, unmet 163 Wh); did not refill (end SOC 0.707)"
5.5,0.36,1.3,0.34,0.6,0.5,0.216,1.632376116030971,2,mixed,29+29+14+7+2,5,81,19x10E,11.063112188917971,1.8190621607084598,16.629448214248328,0.30452241717386863,9.34250496961095,11.21100596353314,11.396846669416133,95.48023822057829,98.35302821818654,2.823548868398437,0.005741396393880854,0.7054550809214708,-265.2103918298592,257.8999704490572,0.10514137993289077,1782.8693469978134,2198.3384239382103,14.666666666666668,False,"SOC floor violated (min 0.006, unmet 258 Wh); did not refill (end SOC 0.705)"
5.5,0.45,1.6,0.34,0.4,0.0,0.18000000000000002,0.48669274633032533,2,mixed,29+29+21+3,4,82,19x10E,11.25365970321726,1.8639070415091878,16.22935013728306,0.3034960880519194,9.30857525177279,11.170290302127349,11.355456079526602,95.95174281621362,98.81382210939536,2.7719053813474255,0.009919934391800427,0.7252872783782476,-266.423812000097,266.423812000097,0.1692261737492148,1804.8800796767975,2209.5545676588235,14.666666666666668,False,"SOC floor violated (min 0.010, unmet 266 Wh); did not refill (end SOC 0.725)"
